CELL,TECHNOLOGY,CLUSTERTYPE,PROVINCE
1001A,2G,Premium,GAUTENG
1001A1,3G,Premium,GAUTENG
1001A2,3G,Premium,GAUTENG
1001B,2G,Premium,GAUTENG
1001B1,3G,Premium,GAUTENG
1001B2,3G,Premium,GAUTENG
1001C,2G,Premium,GAUTENG
1001C1,3G,Premium,GAUTENG
1001C2,3G,Premium,GAUTENG
1002A,2G,High,GAUTENG
1002A1,3G,High,GAUTENG
1002A2,3G,High,GAUTENG
1002B,2G,High,GAUTENG
1002B1,3G,High,GAUTENG
1002B2,3G,High,GAUTENG
1002C,2G,High,GAUTENG
1002C1,3G,High,GAUTENG
1002C2,3G,High,GAUTENG
1003A,2G,Premium,FREE STATE
1003A1,3G,Premium,FREE STATE
1003A2,3G,Premium,FREE STATE
1003B,2G,Premium,FREE STATE
1003B1,3G,Premium,FREE STATE
1003B2,3G,Premium,FREE STATE
1003C,2G,Premium,FREE STATE
1003C1,3G,Premium,FREE STATE
1003C2,3G,Premium,FREE STATE
1004A,2G,Good,LIMPOPO
1004A1,3G,Good,LIMPOPO
1004A2,3G,Good,LIMPOPO
1004B,2G,Good,LIMPOPO
1004B1,3G,Good,LIMPOPO
1004B2,3G,Good,LIMPOPO
1004C,2G,Good,LIMPOPO
1004C1,3G,Good,LIMPOPO
1004C2,3G,Good,LIMPOPO
1005A,2G,Good,NORTH WEST
1005A1,3G,Good,NORTH WEST
1005A2,3G,Good,NORTH WEST
1005B,2G,Good,NORTH WEST
1005B1,3G,Good,NORTH WEST
1005B2,3G,Good,NORTH WEST
1005C,2G,Good,NORTH WEST
1005C1,3G,Good,NORTH WEST
1005C2,3G,Good,NORTH WEST
10066A,2G,Premium,GAUTENG
10066A1,3G,Premium,GAUTENG
10066A2,3G,Premium,GAUTENG
10066B,2G,Premium,GAUTENG
10066B1,3G,Premium,GAUTENG
10066B2,3G,Premium,GAUTENG
10066C,2G,Premium,GAUTENG
10066C1,3G,Premium,GAUTENG
10066C2,3G,Premium,GAUTENG
10068A1,3G,Good,KWAZULU-NATAL
1006A,2G,High,LIMPOPO
1006A1,3G,High,LIMPOPO
1006A2,3G,High,LIMPOPO
1006A3,3G,High,LIMPOPO
1006B,2G,High,LIMPOPO
1006B1,3G,High,LIMPOPO
1006B2,3G,High,LIMPOPO
1006B3,3G,High,LIMPOPO
1006C,2G,High,LIMPOPO
1006C1,3G,High,LIMPOPO
1006C2,3G,High,LIMPOPO
1006C3,3G,High,LIMPOPO
1007A,2G,Good,NORTH WEST
1008A,2G,High,WESTERN CAPE
1008B,2G,High,WESTERN CAPE
1009A,2G,Premium,GAUTENG
1009B,2G,Premium,GAUTENG
1009C,2G,Premium,GAUTENG
100A,2G,High,WESTERN CAPE
100B,2G,High,WESTERN CAPE
100C,2G,High,WESTERN CAPE
1010A,2G,Premium,GAUTENG
1010A1,3G,Premium,GAUTENG
1010A2,3G,Premium,GAUTENG
1010B,2G,Premium,GAUTENG
1010B1,3G,Premium,GAUTENG
1010B2,3G,Premium,GAUTENG
1010C,2G,Premium,GAUTENG
1010C1,3G,Premium,GAUTENG
1010C2,3G,Premium,GAUTENG
1011A,2G,Good,NORTHERN CAPE
1011A1,3G,Good,NORTHERN CAPE
1011A2,3G,Good,NORTHERN CAPE
1011B,2G,Good,NORTHERN CAPE
1011B1,3G,Good,NORTHERN CAPE
1011B2,3G,Good,NORTHERN CAPE
1011C,2G,Good,NORTHERN CAPE
1011C1,3G,Good,NORTHERN CAPE
1011C2,3G,Good,NORTHERN CAPE
1012A,2G,High,LIMPOPO
1012B,2G,High,LIMPOPO
1012C,2G,High,LIMPOPO
10134A1,3G,Premium,WESTERN CAPE
10134A2,3G,Premium,WESTERN CAPE
10134B1,3G,Premium,WESTERN CAPE
10134B2,3G,Premium,WESTERN CAPE
1013A,2G,High,LIMPOPO
1013A1,3G,High,LIMPOPO
1013B,2G,High,LIMPOPO
1013B1,3G,High,LIMPOPO
1013C,2G,High,LIMPOPO
1013C1,3G,High,LIMPOPO
1014A,2G,Good,EASTERN CAPE
1014B,2G,Good,EASTERN CAPE
1014C,2G,Good,EASTERN CAPE
1015A,2G,Good,WESTERN CAPE
1015B,2G,Good,WESTERN CAPE
1016A,2G,Good,EASTERN CAPE
1016A1,3G,Good,EASTERN CAPE
1016B,2G,Good,EASTERN CAPE
1016B1,3G,Good,EASTERN CAPE
1016C,2G,Good,EASTERN CAPE
1016C1,3G,Good,EASTERN CAPE
1017A,2G,Good,EASTERN CAPE
1017B,2G,Good,EASTERN CAPE
1017C,2G,Good,EASTERN CAPE
10180A,2G,Premium,KWAZULU-NATAL
10180A1,3G,Premium,KWAZULU-NATAL
10180A2,3G,Premium,KWAZULU-NATAL
10180B,2G,Premium,KWAZULU-NATAL
10180B1,3G,Premium,KWAZULU-NATAL
10180B2,3G,Premium,KWAZULU-NATAL
10180C,2G,Premium,KWAZULU-NATAL
10180C1,3G,Premium,KWAZULU-NATAL
10180C2,3G,Premium,KWAZULU-NATAL
1018A,2G,Good,EASTERN CAPE
1019A,2G,Good,EASTERN CAPE
1019B,2G,Good,EASTERN CAPE
1019C,2G,Good,EASTERN CAPE
101A,2G,High,WESTERN CAPE
101A1,3G,High,WESTERN CAPE
101A2,3G,High,WESTERN CAPE
101B,2G,High,WESTERN CAPE
101B1,3G,High,WESTERN CAPE
101B2,3G,High,WESTERN CAPE
101C,2G,High,WESTERN CAPE
101C1,3G,High,WESTERN CAPE
101C2,3G,High,WESTERN CAPE
1020A,2G,Good,EASTERN CAPE
1020B,2G,Good,EASTERN CAPE
1021A,2G,Good,EASTERN CAPE
1021A1,3G,Good,EASTERN CAPE
1021B,2G,Good,EASTERN CAPE
1021B1,3G,Good,EASTERN CAPE
1021C,2G,Good,EASTERN CAPE
1021C1,3G,Good,EASTERN CAPE
1022A,2G,Good,NORTHERN CAPE
1023A,2G,Good,NORTHERN CAPE
1023B,2G,Good,NORTHERN CAPE
1023C,2G,Good,NORTHERN CAPE
10243A,2G,High,LIMPOPO
10243A1,3G,High,LIMPOPO
10243A2,3G,High,LIMPOPO
10243B,2G,High,LIMPOPO
10243B1,3G,High,LIMPOPO
10243B2,3G,High,LIMPOPO
10243C,2G,High,LIMPOPO
10243C1,3G,High,LIMPOPO
10243C2,3G,High,LIMPOPO
1024A,2G,Good,NORTHERN CAPE
1024B,2G,Good,NORTHERN CAPE
10256A1,3G,Premium,GAUTENG
10256A2,3G,Premium,GAUTENG
10256B1,3G,Premium,GAUTENG
10256B2,3G,Premium,GAUTENG
10256C1,3G,Premium,GAUTENG
10256C2,3G,Premium,GAUTENG
1025A,2G,Good,NORTHERN CAPE
1025B,2G,Good,NORTHERN CAPE
10268D1,3G,Premium,GAUTENG
10268D2,3G,Premium,GAUTENG
1026A,2G,High,LIMPOPO
1026B,2G,High,LIMPOPO
1026C,2G,High,LIMPOPO
1027A,2G,Good,MPUMALANGA
1027B,2G,Good,MPUMALANGA
1027C,2G,Good,MPUMALANGA
1028A,2G,Good,KWAZULU-NATAL
1028B,2G,Good,KWAZULU-NATAL
1028C,2G,Good,KWAZULU-NATAL
1029A,2G,High,WESTERN CAPE
1029A1,3G,High,WESTERN CAPE
1029A2,3G,High,WESTERN CAPE
1029B,2G,High,WESTERN CAPE
1029B1,3G,High,WESTERN CAPE
1029B2,3G,High,WESTERN CAPE
1029C,2G,High,WESTERN CAPE
1029C1,3G,High,WESTERN CAPE
1029C2,3G,High,WESTERN CAPE
102A,2G,High,WESTERN CAPE
102A1,3G,High,WESTERN CAPE
102A2,3G,High,WESTERN CAPE
102B,2G,High,WESTERN CAPE
102B1,3G,High,WESTERN CAPE
102B2,3G,High,WESTERN CAPE
102C,2G,High,WESTERN CAPE
102C1,3G,High,WESTERN CAPE
102C2,3G,High,WESTERN CAPE
1030A,2G,Premium,GAUTENG
1030A1,3G,Premium,GAUTENG
1030A2,3G,Premium,GAUTENG
1030B,2G,Premium,GAUTENG
1030B1,3G,Premium,GAUTENG
1030B2,3G,Premium,GAUTENG
1030C,2G,Premium,GAUTENG
1030C1,3G,Premium,GAUTENG
1030C2,3G,Premium,GAUTENG
1031A,2G,High,GAUTENG
1031A1,3G,High,GAUTENG
1031A2,3G,High,GAUTENG
1031B,2G,High,GAUTENG
1031B1,3G,High,GAUTENG
1031B2,3G,High,GAUTENG
1031C,2G,High,GAUTENG
1031C1,3G,High,GAUTENG
1031C2,3G,High,GAUTENG
1032A,2G,High,GAUTENG
1032A1,3G,High,GAUTENG
1032A2,3G,High,GAUTENG
1032B,2G,High,GAUTENG
1032B1,3G,High,GAUTENG
1032B2,3G,High,GAUTENG
1032C,2G,High,GAUTENG
1032C1,3G,High,GAUTENG
1032C2,3G,High,GAUTENG
1033A,2G,Good,EASTERN CAPE
1034A,2G,High,KWAZULU-NATAL
1034A1,3G,High,KWAZULU-NATAL
1034A2,3G,High,KWAZULU-NATAL
1034B,2G,High,KWAZULU-NATAL
1034B1,3G,High,KWAZULU-NATAL
1034B2,3G,High,KWAZULU-NATAL
1034C,2G,High,KWAZULU-NATAL
1034C1,3G,High,KWAZULU-NATAL
1034C2,3G,High,KWAZULU-NATAL
1035A,2G,Premium,KWAZULU-NATAL
1035A1,3G,Premium,KWAZULU-NATAL
1035A2,3G,Premium,KWAZULU-NATAL
1035B,2G,Premium,KWAZULU-NATAL
1035B1,3G,Premium,KWAZULU-NATAL
1035B2,3G,Premium,KWAZULU-NATAL
1035C,2G,Premium,KWAZULU-NATAL
1035C1,3G,Premium,KWAZULU-NATAL
1035C2,3G,Premium,KWAZULU-NATAL
1037A,2G,Premium,KWAZULU-NATAL
1037A1,3G,Premium,KWAZULU-NATAL
1037A2,3G,Premium,KWAZULU-NATAL
1037B,2G,Premium,KWAZULU-NATAL
1037B1,3G,Premium,KWAZULU-NATAL
1037B2,3G,Premium,KWAZULU-NATAL
1037C,2G,Premium,KWAZULU-NATAL
1038A,2G,High,KWAZULU-NATAL
1038B,2G,High,KWAZULU-NATAL
1038C,2G,High,KWAZULU-NATAL
1039A,2G,Premium,KWAZULU-NATAL
1039A1,3G,Premium,KWAZULU-NATAL
1039A2,3G,Premium,KWAZULU-NATAL
1039B,2G,Premium,KWAZULU-NATAL
1039B1,3G,Premium,KWAZULU-NATAL
1039B2,3G,Premium,KWAZULU-NATAL
1039C,2G,Premium,KWAZULU-NATAL
1039C1,3G,Premium,KWAZULU-NATAL
1039C2,3G,Premium,KWAZULU-NATAL
103A1,3G,High,WESTERN CAPE
103B1,3G,High,WESTERN CAPE
1040A,2G,Good,FREE STATE
1040A1,3G,Good,FREE STATE
1040A2,3G,Good,FREE STATE
1040B,2G,Good,FREE STATE
1040B1,3G,Good,FREE STATE
1040B2,3G,Good,FREE STATE
1040C,2G,Good,FREE STATE
1040C1,3G,Good,FREE STATE
1040C2,3G,Good,FREE STATE
1041A,2G,Good,EASTERN CAPE
1041A1,3G,Good,EASTERN CAPE
1041B,2G,Good,EASTERN CAPE
1041B1,3G,Good,EASTERN CAPE
1041C,2G,Good,EASTERN CAPE
1041C1,3G,Good,EASTERN CAPE
1042A,2G,Good,EASTERN CAPE
1042B,2G,Good,EASTERN CAPE
1043A,2G,Good,EASTERN CAPE
1043B,2G,Good,EASTERN CAPE
1043C,2G,Good,EASTERN CAPE
1044A,2G,Good,EASTERN CAPE
1044B,2G,Good,EASTERN CAPE
1044C,2G,Good,EASTERN CAPE
1047A,2G,High,GAUTENG
1048A,2G,High,KWAZULU-NATAL
1048A1,3G,High,KWAZULU-NATAL
1048A2,3G,High,KWAZULU-NATAL
104A,2G,Good,GAUTENG
104A1,3G,Good,GAUTENG
104A2,3G,Good,GAUTENG
104B,2G,Good,GAUTENG
104B1,3G,Good,GAUTENG
104B2,3G,Good,GAUTENG
104C,2G,Good,GAUTENG
104C1,3G,Good,GAUTENG
104C2,3G,Good,GAUTENG
1051A,2G,Good,EASTERN CAPE
1051B,2G,Good,EASTERN CAPE
1051C,2G,Good,EASTERN CAPE
1053A,2G,High,KWAZULU-NATAL
1053A1,3G,High,KWAZULU-NATAL
1053A2,3G,High,KWAZULU-NATAL
1053B,2G,High,KWAZULU-NATAL
1053B1,3G,High,KWAZULU-NATAL
1053B2,3G,High,KWAZULU-NATAL
1053C,2G,High,KWAZULU-NATAL
1053C1,3G,High,KWAZULU-NATAL
1053C2,3G,High,KWAZULU-NATAL
1054A,2G,Premium,GAUTENG
1054A1,3G,Premium,GAUTENG
1054A2,3G,Premium,GAUTENG
1054B,2G,Premium,GAUTENG
1054B1,3G,Premium,GAUTENG
1054B2,3G,Premium,GAUTENG
1054C,2G,Premium,GAUTENG
1054C1,3G,Premium,GAUTENG
1054C2,3G,Premium,GAUTENG
1055A,2G,Premium,KWAZULU-NATAL
1055B,2G,Premium,KWAZULU-NATAL
1055C,2G,Premium,KWAZULU-NATAL
1056A,2G,Good,NORTHERN CAPE
1057A,2G,Good,NORTHERN CAPE
1058A,2G,Good,NORTHERN CAPE
10591A1,3G,High,GAUTENG
10591A2,3G,High,GAUTENG
10591B1,3G,High,GAUTENG
10591B2,3G,High,GAUTENG
10591C1,3G,High,GAUTENG
10591C2,3G,High,GAUTENG
1059A,2G,Good,NORTHERN CAPE
105A,2G,High,GAUTENG
105A1,3G,High,GAUTENG
105A2,3G,High,GAUTENG
105B,2G,High,GAUTENG
105B1,3G,High,GAUTENG
105B2,3G,High,GAUTENG
105C,2G,High,GAUTENG
105C1,3G,High,GAUTENG
105C2,3G,High,GAUTENG
10609A,2G,Premium,GAUTENG
10609A1,3G,Premium,GAUTENG
10609A2,3G,Premium,GAUTENG
1060A,2G,Good,NORTHERN CAPE
1061A,2G,Good,NORTHERN CAPE
1062A,2G,Premium,GAUTENG
1062A1,3G,Premium,GAUTENG
1062B,2G,Premium,GAUTENG
1062B1,3G,Premium,GAUTENG
1062C,2G,Premium,GAUTENG
1062C1,3G,Premium,GAUTENG
1063A,2G,Premium,GAUTENG
1063A1,3G,Premium,GAUTENG
1063A2,3G,Premium,GAUTENG
1063B,2G,Premium,GAUTENG
1063B1,3G,Premium,GAUTENG
1063B2,3G,Premium,GAUTENG
1063C,2G,Premium,GAUTENG
1063C1,3G,Premium,GAUTENG
1063C2,3G,Premium,GAUTENG
1064A,2G,Good,KWAZULU-NATAL
1064B,2G,Good,KWAZULU-NATAL
1064C,2G,Good,KWAZULU-NATAL
1065A,2G,Good,EASTERN CAPE
1065B,2G,Good,EASTERN CAPE
1065C,2G,Good,EASTERN CAPE
1066A,2G,Good,NORTHERN CAPE
1066B,2G,Good,NORTHERN CAPE
1066C,2G,Good,NORTHERN CAPE
1067A,2G,Good,WESTERN CAPE
1067A1,3G,Good,WESTERN CAPE
1067B,2G,Good,WESTERN CAPE
1067B1,3G,Good,WESTERN CAPE
1067C,2G,Good,WESTERN CAPE
1067C1,3G,Good,WESTERN CAPE
1068A,2G,Good,WESTERN CAPE
1068A1,3G,Good,WESTERN CAPE
1068B,2G,Good,WESTERN CAPE
1068B1,3G,Good,WESTERN CAPE
1068C,2G,Good,WESTERN CAPE
1068C1,3G,Good,WESTERN CAPE
1069A,2G,Good,WESTERN CAPE
1069B,2G,Good,WESTERN CAPE
1069B1,3G,Good,WESTERN CAPE
1069C,2G,Good,WESTERN CAPE
1069C1,3G,Good,WESTERN CAPE
106A,2G,High,GAUTENG
106A1,3G,High,GAUTENG
106A2,3G,High,GAUTENG
106B,2G,High,GAUTENG
106B1,3G,High,GAUTENG
106B2,3G,High,GAUTENG
106C,2G,High,GAUTENG
106C1,3G,High,GAUTENG
106C2,3G,High,GAUTENG
1070A,2G,Good,WESTERN CAPE
1070A1,3G,Good,WESTERN CAPE
1070A2,3G,Good,WESTERN CAPE
1070B,2G,Good,WESTERN CAPE
1070B1,3G,Good,WESTERN CAPE
1070B2,3G,Good,WESTERN CAPE
1070C,2G,Good,WESTERN CAPE
1070C1,3G,Good,WESTERN CAPE
1070C2,3G,Good,WESTERN CAPE
1071A,2G,Good,NORTH WEST
1071A1,3G,Good,NORTH WEST
1071B,2G,Good,NORTH WEST
1071B1,3G,Good,NORTH WEST
1071C,2G,Good,NORTH WEST
1071C1,3G,Good,NORTH WEST
1072A,2G,Premium,GAUTENG
1072A1,3G,Premium,GAUTENG
1072A2,3G,Premium,GAUTENG
1072B,2G,Premium,GAUTENG
1072B1,3G,Premium,GAUTENG
1072B2,3G,Premium,GAUTENG
1072C,2G,Premium,GAUTENG
1072C1,3G,Premium,GAUTENG
1072C2,3G,Premium,GAUTENG
1072D,2G,Premium,GAUTENG
1073A,2G,High,GAUTENG
1073A1,3G,High,GAUTENG
1073A2,3G,High,GAUTENG
1073B,2G,High,GAUTENG
1073B1,3G,High,GAUTENG
1073B2,3G,High,GAUTENG
1073C,2G,High,GAUTENG
1073C1,3G,High,GAUTENG
1073C2,3G,High,GAUTENG
1074A,2G,Premium,GAUTENG
1074A1,3G,Premium,GAUTENG
1074A2,3G,Premium,GAUTENG
1074B,2G,Premium,GAUTENG
1074B1,3G,Premium,GAUTENG
1074B2,3G,Premium,GAUTENG
1074C,2G,Premium,GAUTENG
1074C1,3G,Premium,GAUTENG
1074C2,3G,Premium,GAUTENG
1075A,2G,Good,EASTERN CAPE
1075B,2G,Good,EASTERN CAPE
1075B1,3G,Good,EASTERN CAPE
1075B2,3G,Good,EASTERN CAPE
1076A,2G,Good,LIMPOPO
1076B,2G,Good,LIMPOPO
1076C,2G,Good,LIMPOPO
1077A,2G,Good,NORTH WEST
1077B,2G,Good,NORTH WEST
1077C,2G,Good,NORTH WEST
1078A,2G,Premium,GAUTENG
1078A1,3G,Premium,GAUTENG
1078A2,3G,Premium,GAUTENG
1078B,2G,Premium,GAUTENG
1078B1,3G,Premium,GAUTENG
1078B2,3G,Premium,GAUTENG
1078C,2G,Premium,GAUTENG
1078C1,3G,Premium,GAUTENG
1078C2,3G,Premium,GAUTENG
1079A,2G,Premium,GAUTENG
1079A1,3G,Premium,GAUTENG
1079A2,3G,Premium,GAUTENG
1079B,2G,Premium,GAUTENG
1079B1,3G,Premium,GAUTENG
1079B2,3G,Premium,GAUTENG
1079C,2G,Premium,GAUTENG
1079C1,3G,Premium,GAUTENG
1079C2,3G,Premium,GAUTENG
107A,2G,Premium,GAUTENG
107A1,3G,Premium,GAUTENG
107A2,3G,Premium,GAUTENG
107B,2G,Premium,GAUTENG
107B1,3G,Premium,GAUTENG
107B2,3G,Premium,GAUTENG
107C,2G,Premium,GAUTENG
107C1,3G,Premium,GAUTENG
107C2,3G,Premium,GAUTENG
1080A,2G,Good,LIMPOPO
1080A1,3G,Good,LIMPOPO
1080B,2G,Good,LIMPOPO
1080B1,3G,Good,LIMPOPO
1080C,2G,Good,LIMPOPO
1080C1,3G,Good,LIMPOPO
1081A,2G,Premium,GAUTENG
1081A1,3G,Premium,GAUTENG
1081A2,3G,Premium,GAUTENG
1081B,2G,Premium,GAUTENG
1081B1,3G,Premium,GAUTENG
1081B2,3G,Premium,GAUTENG
1081C,2G,Premium,GAUTENG
1081C1,3G,Premium,GAUTENG
1081C2,3G,Premium,GAUTENG
1082A,2G,Good,WESTERN CAPE
1082A1,3G,Good,WESTERN CAPE
1082A2,3G,Good,WESTERN CAPE
1082B,2G,Good,WESTERN CAPE
1082B1,3G,Good,WESTERN CAPE
1082B2,3G,Good,WESTERN CAPE
1083A,2G,Good,NORTH WEST
1083A1,3G,Good,NORTH WEST
1083B,2G,Good,NORTH WEST
1083B1,3G,Good,NORTH WEST
1083C,2G,Good,NORTH WEST
1083C1,3G,Good,NORTH WEST
1084A,2G,Good,MPUMALANGA
1084B,2G,Good,MPUMALANGA
1084C,2G,Good,MPUMALANGA
1085A,2G,Good,MPUMALANGA
1085B,2G,Good,MPUMALANGA
1086A,2G,High,GAUTENG
1086A1,3G,High,GAUTENG
1086A2,3G,High,GAUTENG
1086B,2G,High,GAUTENG
1086B1,3G,High,GAUTENG
1086B2,3G,High,GAUTENG
1086C,2G,High,GAUTENG
1086C1,3G,High,GAUTENG
1086C2,3G,High,GAUTENG
1087A,2G,Premium,GAUTENG
1087A1,3G,Premium,GAUTENG
1087A2,3G,Premium,GAUTENG
1087B,2G,Premium,GAUTENG
1087B1,3G,Premium,GAUTENG
1087B2,3G,Premium,GAUTENG
1087C,2G,Premium,GAUTENG
1087C1,3G,Premium,GAUTENG
1087C2,3G,Premium,GAUTENG
1088A,2G,Premium,GAUTENG
1088A1,3G,Premium,GAUTENG
1088A2,3G,Premium,GAUTENG
1088B,2G,Premium,GAUTENG
1088B1,3G,Premium,GAUTENG
1088B2,3G,Premium,GAUTENG
1088C,2G,Premium,GAUTENG
1088C1,3G,Premium,GAUTENG
1088C2,3G,Premium,GAUTENG
1088D,2G,Premium,GAUTENG
1089A,2G,Good,EASTERN CAPE
1089A1,3G,Good,EASTERN CAPE
1089B,2G,Good,EASTERN CAPE
1089B1,3G,Good,EASTERN CAPE
1089C,2G,Good,EASTERN CAPE
1089C1,3G,Good,EASTERN CAPE
108A,2G,High,GAUTENG
108A1,3G,High,GAUTENG
108B,2G,High,GAUTENG
108B1,3G,High,GAUTENG
108C,2G,High,GAUTENG
108C1,3G,High,GAUTENG
1090A,2G,Premium,WESTERN CAPE
1090A1,3G,Premium,WESTERN CAPE
1090A2,3G,Premium,WESTERN CAPE
1091A,2G,High,LIMPOPO
1091B,2G,High,LIMPOPO
1092A,2G,High,LIMPOPO
1092B,2G,High,LIMPOPO
1092C,2G,High,LIMPOPO
1092D,2G,High,LIMPOPO
1093A,2G,High,LIMPOPO
1093A1,3G,High,LIMPOPO
1093B,2G,High,LIMPOPO
1093B1,3G,High,LIMPOPO
1093C,2G,High,LIMPOPO
1093C1,3G,High,LIMPOPO
1094A,2G,High,LIMPOPO
1094A1,3G,High,LIMPOPO
1094B,2G,High,LIMPOPO
1094B1,3G,High,LIMPOPO
1094C,2G,High,LIMPOPO
1094C1,3G,High,LIMPOPO
1095A,2G,Good,KWAZULU-NATAL
1095B,2G,Good,KWAZULU-NATAL
1095C,2G,Good,KWAZULU-NATAL
1096A,2G,Premium,KWAZULU-NATAL
1096A1,3G,Premium,KWAZULU-NATAL
1096A2,3G,Premium,KWAZULU-NATAL
1096B,2G,Premium,KWAZULU-NATAL
1096B1,3G,Premium,KWAZULU-NATAL
1096B2,3G,Premium,KWAZULU-NATAL
1096C,2G,Premium,KWAZULU-NATAL
1096C1,3G,Premium,KWAZULU-NATAL
1096C2,3G,Premium,KWAZULU-NATAL
1096D1,3G,Premium,KWAZULU-NATAL
1096D2,3G,Premium,KWAZULU-NATAL
1097A,2G,High,NORTHERN CAPE
1097A1,3G,High,NORTHERN CAPE
1097B,2G,High,NORTHERN CAPE
1097B1,3G,High,NORTHERN CAPE
1097C,2G,High,NORTHERN CAPE
1097C1,3G,High,NORTHERN CAPE
1098A,2G,Premium,GAUTENG
1098A1,3G,Premium,GAUTENG
1098A2,3G,Premium,GAUTENG
1098B,2G,Premium,GAUTENG
1098B1,3G,Premium,GAUTENG
1098B2,3G,Premium,GAUTENG
1098C,2G,Premium,GAUTENG
1098C1,3G,Premium,GAUTENG
1098C2,3G,Premium,GAUTENG
1099A,2G,Good,MPUMALANGA
1099B,2G,Good,MPUMALANGA
1099C,2G,Good,MPUMALANGA
109A,2G,High,GAUTENG
109A1,3G,High,GAUTENG
109B,2G,High,GAUTENG
109B1,3G,High,GAUTENG
109C,2G,High,GAUTENG
109C1,3G,High,GAUTENG
10A,2G,Premium,WESTERN CAPE
10A1,3G,Premium,WESTERN CAPE
10A2,3G,Premium,WESTERN CAPE
10B,2G,Premium,WESTERN CAPE
10B1,3G,Premium,WESTERN CAPE
10B2,3G,Premium,WESTERN CAPE
10C,2G,Premium,WESTERN CAPE
10C1,3G,Premium,WESTERN CAPE
10C2,3G,Premium,WESTERN CAPE
1100A,2G,Good,KWAZULU-NATAL
1100B,2G,Good,KWAZULU-NATAL
1100C,2G,Good,KWAZULU-NATAL
1101A,2G,Premium,GAUTENG
1102A,2G,Premium,GAUTENG
1102A1,3G,Premium,GAUTENG
1102A2,3G,Premium,GAUTENG
1102B,2G,Premium,GAUTENG
1102B1,3G,Premium,GAUTENG
1102B2,3G,Premium,GAUTENG
1102C,2G,Premium,GAUTENG
1102C1,3G,Premium,GAUTENG
1102C2,3G,Premium,GAUTENG
1103A,2G,High,WESTERN CAPE
1103A1,3G,High,WESTERN CAPE
1103A2,3G,High,WESTERN CAPE
1103B,2G,High,WESTERN CAPE
1103B1,3G,High,WESTERN CAPE
1103B2,3G,High,WESTERN CAPE
1103C,2G,High,WESTERN CAPE
1103C1,3G,High,WESTERN CAPE
1103C2,3G,High,WESTERN CAPE
110A,2G,High,KWAZULU-NATAL
110A1,3G,High,KWAZULU-NATAL
110A2,3G,High,KWAZULU-NATAL
110B,2G,High,KWAZULU-NATAL
110B1,3G,High,KWAZULU-NATAL
110B2,3G,High,KWAZULU-NATAL
110C,2G,High,KWAZULU-NATAL
110C1,3G,High,KWAZULU-NATAL
110C2,3G,High,KWAZULU-NATAL
1110A,2G,High,GAUTENG
1111A,2G,Premium,KWAZULU-NATAL
1111A1,3G,Premium,KWAZULU-NATAL
1111A2,3G,Premium,KWAZULU-NATAL
1111B,2G,Premium,KWAZULU-NATAL
1111B1,3G,Premium,KWAZULU-NATAL
1111B2,3G,Premium,KWAZULU-NATAL
1111C,2G,Premium,KWAZULU-NATAL
1111C1,3G,Premium,KWAZULU-NATAL
1111C2,3G,Premium,KWAZULU-NATAL
1112A,2G,Premium,KWAZULU-NATAL
1112A1,3G,Premium,KWAZULU-NATAL
1112A2,3G,Premium,KWAZULU-NATAL
1112B,2G,Premium,KWAZULU-NATAL
1112B1,3G,Premium,KWAZULU-NATAL
1112B2,3G,Premium,KWAZULU-NATAL
1112C,2G,Premium,KWAZULU-NATAL
1112C1,3G,Premium,KWAZULU-NATAL
1112C2,3G,Premium,KWAZULU-NATAL
1113A,2G,Premium,null
1113A1,3G,Premium,null
1113A2,3G,Premium,null
1113B,2G,Premium,null
1113B1,3G,Premium,null
1113B2,3G,Premium,null
1113C,2G,Premium,null
1113C1,3G,Premium,null
1113C2,3G,Premium,null
1115A,2G,Good,NORTH WEST
1115B,2G,Good,NORTH WEST
1115C,2G,Good,NORTH WEST
1116A,2G,Premium,GAUTENG
1116A1,3G,Premium,GAUTENG
1116A2,3G,Premium,GAUTENG
1116B,2G,Premium,GAUTENG
1116B1,3G,Premium,GAUTENG
1116B2,3G,Premium,GAUTENG
1116C,2G,Premium,GAUTENG
1116C1,3G,Premium,GAUTENG
1116C2,3G,Premium,GAUTENG
1117A,2G,High,GAUTENG
1117A1,3G,High,GAUTENG
1117A2,3G,High,GAUTENG
1117B,2G,High,GAUTENG
1117B1,3G,High,GAUTENG
1117B2,3G,High,GAUTENG
1117C,2G,High,GAUTENG
1117C1,3G,High,GAUTENG
1117C2,3G,High,GAUTENG
1118A,2G,High,NORTH WEST
1119A,2G,High,GAUTENG
1119A1,3G,High,GAUTENG
1119A2,3G,High,GAUTENG
1119B,2G,High,GAUTENG
1119B1,3G,High,GAUTENG
1119B2,3G,High,GAUTENG
1119C,2G,High,GAUTENG
1119C1,3G,High,GAUTENG
1119C2,3G,High,GAUTENG
111A,2G,High,KWAZULU-NATAL
111A1,3G,High,KWAZULU-NATAL
111B,2G,High,KWAZULU-NATAL
111B1,3G,High,KWAZULU-NATAL
111C,2G,High,KWAZULU-NATAL
111C1,3G,High,KWAZULU-NATAL
1120A,2G,High,GAUTENG
1120A1,3G,High,GAUTENG
1120A2,3G,High,GAUTENG
1120B,2G,High,GAUTENG
1120B1,3G,High,GAUTENG
1120B2,3G,High,GAUTENG
1120C,2G,High,GAUTENG
1120C1,3G,High,GAUTENG
1120C2,3G,High,GAUTENG
